Lat,Long,PH (cm),PW (mm),Dis-N,Dis-E,Dis-S,Dis-W,Canopy closure photo N.,,Env. photo number,,Remark
24.89199,121.56703,5,28.36,21.21,30.95,45.1,11.57,5785,,5786,,
24.89196,121.56711,11.7,17.03,15.76,37.81,27.34,31.16,5788,,5787,,
24.89196,121.56711,40,6.73,670,1238,790,103.1,5789,,5790,,
24.89195,121.56722,6.5,16.33,24.1,14.93,38.39,75.355,5794,,,,
24.89195,121.56722,26,13.96,40.73,70.69,121.99,45.07,5793,,,,
24.89195,121.56722,55,12.14,410,94.64,149.61,1184,5792,,,,
24.89195,121.56722,82,3.24,507,465,161.55,1580,5791,,,,
24.89189,121.56722,11.8,15.51,22.87,31.15,12.84,21.94,5801,,5797,,
24.89189,121.56722,37.7,24.36,103.06,39.29,78.23,45.97,5800,,5796,,
24.89189,121.56722,60,36.24,92.39,74.94,>2m,590,5799,,5795,,
24.89189,121.56722,88.5,35.26,134.34,>2m,>2m,>2m,5798,,5795,,
24.89223,121.56671,7.2,19.41,64.51,28.48,14.18,140,5766,,5765,,
24.89223,121.56671,29.8,11.66,79.53,62.79,42.89,733,5767,,,,
24.89223,121.56671,52.5,7.57,63.3,405,247,869,5768,,,,
24.89223,121.56671,87.3,5.89,260,1000,765,1885,5769,,,,
24.89214,121.57712,9.2,7.62,14.76,21.02,28.6,81.89,5773,,,,
24.89214,121.57712,24.5,5.23,142.86,76.03,24.89,77.66,5771,,,,
24.89214,121.57712,53,5.21,1093,266,143.86,490,5772,,,,
24.89211,121.56717,5.1,8.15,42.13,57.49,69.96,28.32,5778,,5774,,
24.89211,121.56717,30,3.44,94.04,218,64.71,195,5779,,5775,,
24.89211,121.56717,58.2,9.8,127.07,116.79,148.51,644,5780,,,,
24.89217,121.56701,10,9.97,61.43,23.25,15.08,28.33,5784,,,,
24.89217,121.56701,32.4,12.36,35.24,42.59,39.17,57.17,5783,,,,
24.89217,121.56701,64.5,5.22,270,1910,1032,35.74,5782,,,,
24.89217,121.56701,97.1,9.69,355,>2m,596,360,5781,,,,
24.89182,121.56718,10.8,30.75,35.16,37.37,81.97,25.69,5805,,5804,,
24.89182,121.56718,38,44.89,144.47,116.48,34.32,49.51,5806,,5803,,
24.89182,121.56718,60,70.71,390,12835,460,1326,5807,,5803,,
24.89197,121.567,15,18.93,20.34,43.54,16.3,27.1,5810,,5809,,
24.89197,121.567,37,13.99,305,64.09,82.06,120.38,5811,,,,
24.89197,121.567,60.6,11.5,723,79.28,37.67,122.37,5812,,,,
24.89197,121.567,93.5,1.89,1182,485,578,176.95,5813,,,,
24.89188,121.56695,10,29.08,26.72,38.01,61.45,69.07,5816,,5814,,
24.89188,121.56695,28,32.37,>2m,75.21,45.18,37.09,5817,,58145,,
24.89201,121.56702,13,41.35,51.64,97.49,69.67,120.05,5823,,5818,,
24.89201,121.56702,40,37.59,49.51,85.41,29.24,42,5822,,,,
24.89201,121.56702,73,39.42,240,92.79,189.17,23.28,5821,,,,
24.89201,121.56702,90,31.2,180,35.22,70.71,409,5820,,,,
24.89201,121.56702,120,33.59,218,1407,168.1,158.15,5819,,,,